user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
SteveGarretson,SteveGarretson,523528471801524224,2014-10-18 17:38:09,/SteveGarretson/status/523528471801524224,0,0,0,@SouthwestAir I agree w/ ^SG. #iLUV2FlySWA Thus I was very surprised by the cust srvc rep's behavior on the phone today.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> I agree w/ ^SG. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/iLUV2FlySWA?src=hash""><s>#</s><b>iLUV2FlySWA</b></a> Thus I was very surprised by the cust srvc rep's behavior on the phone today.</p>"
TommyJohn_,Tommy John,523527549746704384,2014-10-18 17:34:29,/TommyJohn_/status/523527549746704384,0,0,0,@southwestair who thought it would be a smart idea to have unassigned seats?? Thanks for the awkward moment trying to a find seat...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>southwestair</b></a> who thought it would be a smart idea to have unassigned seats?? Thanks for the awkward moment trying to a find seat...</p>"
jasonarch68,Jason Archambeault,523517658957103104,2014-10-18 16:55:11,/jasonarch68/status/523517658957103104,0,1,0,@SouthwestAir Delayed in Baltimore for at least 3.5 hours. $100 travel voucher does not fix my ruined evening. #notenough,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> Delayed in Baltimore for at least 3.5 hours. $100 travel voucher does not fix my ruined evening. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/notenough?src=hash""><s>#</s><b>notenough</b></a></p>"
ThePhilFactor,The Phil Factor,523515300315398144,2014-10-18 16:45:48,/ThePhilFactor/status/523515300315398144,0,1,0,@SouthwestAir Can a guitar in a case be a carry on item? I really don't want to put it in with the luggage.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> Can a guitar in a case be a carry on item? I really don't want to put it in with the luggage.</p>"
tjoosten,Tanya Joosten,523512600353443840,2014-10-18 16:35:04,/tjoosten/status/523512600353443840,0,1,0,"@SouthwestAir Missing flight, need to rebook for next flight","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> Missing flight, need to rebook for next flight</p>"
etfubar,Stephanie,523510460872544256,2014-10-18 16:26:34,/etfubar/status/523510460872544256,0,0,0,@SouthwestAir seriously paid money for early bird check in and get b. Too many others get 1st shot.. You should just book seats.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> seriously paid money for early bird check in and get b. Too many others get 1st shot.. You should just book seats.</p>"
dhepburn,David Hepburn,523510144072945664,2014-10-18 16:25:19,/dhepburn/status/523510144072945664,0,0,0,@SouthwestAir Sounds good. Thanks!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> Sounds good. Thanks!</p>"
ncolon0216,Nicole Colon,523507950472929281,2014-10-18 16:16:36,/ncolon0216/status/523507950472929281,0,0,0,@southwestair Where will you fly? #traveling #flying #orange-juice #peanuts #relaxing http://instagram.com/p/uTNt8QoveL/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>southwestair</b></a> Where will you fly? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/traveling?src=hash""><s>#</s><b>traveling</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flying?src=hash""><s>#</s><b>flying</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/orange?src=hash""><s>#</s><b>orange</b></a>-juice <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/peanuts?src=hash""><s>#</s><b>peanuts</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/relaxing?src=hash""><s>#</s><b>relaxing</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/uTNt8QoveL/"" dir=""ltr"" href=""http://t.co/WClb3BzQB5"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/uTNt8QoveL/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/uTNt8QoveL/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
dhepburn,David Hepburn,523507666749243392,2014-10-18 16:15:28,/dhepburn/status/523507666749243392,0,1,0,"@SouthwestAir Looks like something is up with your booking page, at least on mobile. You guys aware?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> Looks like something is up with your booking page, at least on mobile. You guys aware?</p>"
DrKarlynB,Dr. Karlyn Borysenko,523501646970490880,2014-10-18 15:51:33,/DrKarlynB/status/523501646970490880,0,1,0,@SouthwestAir The inflight wifi is pathetic. I can’t browse at all. Have been waiting for google to load a simple search for 15 min.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> The inflight wifi is pathetic. I can’t browse at all. Have been waiting for google to load a simple search for 15 min.</p>"
WKircher,WillKircher,523499824365436928,2014-10-18 15:44:18,/WKircher/status/523499824365436928,0,0,0,@SouthwestAir flight from LAX-DEN 6:20a 10/18/14. One of the BEST flights I've ever been on. Thank you x1000. Flight attendants = perfection,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> flight from LAX-DEN 6:20a 10/18/14. One of the BEST flights I've ever been on. Thank you x1000. Flight attendants = perfection</p>"
tamelakim,Tammy Kim,523497412925857792,2014-10-18 15:34:44,/tamelakim/status/523497412925857792,0,2,1,@SouthwestAir flight on route to San Diego is packed with #ASHG14 attendees. so much EXCITEMENT. See you soon @visitsandiego,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> flight on route to San Diego is packed with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ASHG14?src=hash""><s>#</s><b>ASHG14</b></a> attendees. so much EXCITEMENT. See you soon <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17546141"" dir=""ltr"" href=""/visitsandiego""><s>@</s><b>visitsandiego</b></a></p>"
Kacey_cb2014,Kacey,523497098038493184,2014-10-18 15:33:28,/Kacey_cb2014/status/523497098038493184,0,0,0,@SouthwestAir @tttkay Same issue here- called customer service and was told I just need to download IE. Really?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""73315263"" dir=""ltr"" href=""/tttkay""><s>@</s><b>tttkay</b></a> Same issue here- called customer service and was told I just need to download IE. Really?</p>"
RedneckJournal,Redneck Journal,523493758709403648,2014-10-18 15:20:12,/RedneckJournal/status/523493758709403648,0,0,0,"For Southwest Airlines, Steep Learning Curv  http://rnj.me/1seajhQ 
#internationalflights #southwestairlines pic.twitter.com/SWWgjrWnTt","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For Southwest Airlines, Steep Learning Curv  <a class=""twitter-timeline-link"" data-expanded-url=""http://rnj.me/1seajhQ"" dir=""ltr"" href=""http://t.co/nUx1aGsUd8"" rel=""nofollow noopener"" target=""_blank"" title=""http://rnj.me/1seajhQ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">rnj.me/1seajhQ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/internationalflights?src=hash""><s>#</s><b>internationalflights</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/southwestairlines?src=hash""><s>#</s><b><strong>southwestairlines</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/SWWgjrWnTt"">pic.twitter.com/SWWgjrWnTt</a></p>"
GiancarloGomez,Giancarlo Gomez,523493305489707009,2014-10-18 15:18:24,/GiancarloGomez/status/523493305489707009,0,0,0,@SouthwestAir I can not DM you as you need to follow me to do so. Conf # is FY9ATT. Flying back today and hopefully the WiFi will be better,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> I can not DM you as you need to follow me to do so. Conf # is FY9ATT. Flying back today and hopefully the WiFi will be better</p>"
indyslm,Seth McCulloch,523489680772595712,2014-10-18 15:04:00,/indyslm/status/523489680772595712,0,1,0,@SouthwestAir your iOS app looks to be broken. Confirmation numbers not found and clocking issues. Bad deal when trying to get that A card!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> your iOS app looks to be broken. Confirmation numbers not found and clocking issues. Bad deal when trying to get that A card!</p>"
seleu,Sara Leu,523486800611147776,2014-10-18 14:52:33,/seleu/status/523486800611147776,0,1,0,@SouthwestAir the form to add my rapid rewards number to a booked flight isn't working. Help?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> the form to add my rapid rewards number to a booked flight isn't working. Help?</p>"
michiismagic7,Michi,523480385968410625,2014-10-18 14:27:04,/michiismagic7/status/523480385968410625,1,0,1,@SouthwestAir IT'S TIME FOR DISNEY! ! #PVD #WALTDISNEYWORLD @sassycassie2135 @kimfletchaaa So excited!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7212562"" dir=""ltr"" href=""/SouthwestAir""><s>@</s><b>SouthwestAir</b></a> IT'S TIME FOR DISNEY! ! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PVD?src=hash""><s>#</s><b>PVD</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WALTDISNEYWORLD?src=hash""><s>#</s><b>WALTDISNEYWORLD</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""108131381"" dir=""ltr"" href=""/sassycassie2135""><s>@</s><b>sassycassie2135</b></a> @kimfletchaaa So excited!!!</p>"
